cn8,hs12
01012100,010121
01012910,010129
01012990,010129
01013000,010130
01019000,010190
01022110,010221
01022130,010221
01022190,010221
01022905,010229
01022910,010229
01022921,010229
01022929,010229
01022941,010229
01022949,010229
01022951,010229
01022959,010229
01022961,010229
01022969,010229
01022991,010229
01022999,010229
01023100,010231
01023910,010239
01023990,010239
01029020,010290
01029091,010290
01029099,010290
01031000,010310
01039110,010391
01039190,010391
01039211,010392
01039219,010392
01039290,010392
01041010,010410
01041030,010410
01041080,010410
01042010,010420
01042090,010420
01051111,010511
01051119,010511
01051191,010511
01051199,010511
01051200,010512
01051300,010513
01051400,010514
01051500,010515
01059400,010594
01059910,010599
01059920,010599
01059930,010599
01059950,010599
01061100,010611
01061200,010612
01061300,010613
01061410,010614
01061490,010614
01061900,010619
01062000,010620
01063100,010631
01063200,010632
01063300,010633
01063910,010639
01063980,010639
01064100,010641
01064900,010649
01069000,010690
02011000,020110
02012020,020120
02012030,020120
02012050,020120
02012090,020120
02013000,020130
02021000,020210
02022010,020220
02022030,020220
02022050,020220
02022090,020220
02023010,020230
02023050,020230
02023090,020230
02031110,020311
02031190,020311
02031211,020312
02031219,020312
02031290,020312
02031911,020319
02031913,020319
02031915,020319
02031955,020319
02031959,020319
02031990,020319
02032110,020321
02032190,020321
02032211,020322
02032219,020322
02032290,020322
02032911,020329
02032913,020329
02032915,020329
02032955,020329
02032959,020329
02032990,020329
02041000,020410
02042100,020421
02042210,020422
02042230,020422
02042250,020422
02042290,020422
02042300,020423
02043000,020430
02044100,020441
02044210,020442
02044230,020442
02044250,020442
02044290,020442
02044310,020443
02044390,020443
02045011,020450
02045013,020450
02045015,020450
02045019,020450
02045031,020450
02045039,020450
02045051,020450
02045053,020450
02045055,020450
02045059,020450
02045071,020450
02045079,020450
02050020,020500
02050080,020500
02061010,020610
02061095,020610
02061098,020610
02062100,020621
02062200,020622
02062910,020629
02062991,020629
02062999,020629
02063000,020630
02064100,020641
02064900,020649
02068010,020680
02068091,020680
02068099,020680
02069010,020690
02069091,020690
02069099,020690
02071110,020711
02071130,020711
02071190,020711
02071210,020712
02071290,020712
02071310,020713
02071320,020713
02071330,020713
02071340,020713
02071350,020713
02071360,020713
02071370,020713
02071391,020713
02071399,020713
02071410,020714
02071420,020714
02071430,020714
02071440,020714
02071450,020714
02071460,020714
02071470,020714
02071491,020714
02071499,020714
02072410,020724
02072490,020724
02072510,020725
02072590,020725
02072610,020726
02072620,020726
02072630,020726
02072640,020726
02072650,020726
02072660,020726
02072670,020726
02072680,020726
02072691,020726
02072699,020726
02072710,020727
02072720,020727
02072730,020727
02072740,020727
02072750,020727
02072760,020727
02072770,020727
02072780,020727
02072791,020727
02072799,020727
02074120,020741
02074130,020741
02074180,020741
02074230,020742
02074280,020742
02074300,020743
02074410,020744
02074421,020744
02074431,020744
02074441,020744
02074451,020744
02074461,020744
02074471,020744
02074481,020744
02074491,020744
02074499,020744
02074510,020745
02074521,020745
02074531,020745
02074541,020745
02074551,020745
02074561,020745
02074571,020745
02074581,020745
02074593,020745
02074595,020745
02074599,020745
02075110,020751
02075190,020751
02075210,020752
02075290,020752
02075300,020753
02075410,020754
02075421,020754
02075431,020754
02075441,020754
02075451,020754
02075461,020754
02075471,020754
02075481,020754
02075491,020754
02075499,020754
02075510,020755
02075521,020755
02075531,020755
02075541,020755
02075551,020755
02075561,020755
02075571,020755
02075581,020755
02075593,020755
02075595,020755
02075599,020755
02076005,020760
02076010,020760
02076021,020760
02076031,020760
02076041,020760
02076051,020760
02076061,020760
02076081,020760
02076091,020760
02076099,020760
02081010,020810
02081090,020810
02083000,020830
02084010,020840
02084020,020840
02084080,020840
02085000,020850
02086000,020860
02089010,020890
02089030,020890
02089060,020890
02089070,020890
02089098,020890
02091011,020910
02091019,020910
02091090,020910
02099000,020990
02101111,021011
02101119,021011
02101131,021011
02101139,021011
02101190,021011
02101211,021012
02101219,021012
02101290,021012
02101910,021019
02101920,021019
02101930,021019
02101940,021019
02101950,021019
02101960,021019
02101970,021019
02101981,021019
02101989,021019
02101990,021019
02102010,021020
02102090,021020
02109100,021091
02109210,021092
02109291,021092
02109292,021092
02109299,021092
02109300,021093
02109910,021099
02109921,021099
02109929,021099
02109931,021099
02109939,021099
02109941,021099
02109949,021099
02109951,021099
02109959,021099
02109971,021099
02109979,021099
02109985,021099
02109990,021099
03011100,030111
03011900,030119
03019110,030191
03019190,030191
03019210,030192
03019230,030192
03019290,030192
03019300,030193
03019300,030199
03019410,030194
03019490,030194
03019500,030195
03019911,030199
03019917,030199
03019985,030199
03021110,030211
03021120,030211
03021180,030211
03021300,030213
03021400,030214
03021900,030219
03022110,030221
03022130,030221
03022190,030221
03022200,030222
03022300,030223
03022400,030224
03022910,030229
03022980,030229
03023110,030231
03023190,030231
03023210,030232
03023290,030232
03023310,030233
03023390,030233
03023410,030234
03023490,030234
03023511,030235
03023519,030235
03023591,030235
03023599,030235
03023610,030236
03023690,030236
03023920,030239
03023980,030239
03024100,030241
03024200,030242
03024310,030243
03024330,030243
03024390,030243
03024400,030244
03024510,030245
03024530,030245
03024590,030245
03024600,030246
03024700,030247
03024911,030289
03024919,030289
03024990,030289
03025110,030251
03025190,030251
03025200,030252
03025300,030253
03025411,030254
03025415,030254
03025419,030254
03025490,030254
03025500,030255
03025600,030256
03025910,030259
03025920,030259
03025930,030259
03025940,030259
03025990,030259
03027100,030271
03027200,030272
03027300,030273
03027300,030289
03027400,030274
03027900,030279
03028115,030281
03028130,030281
03028140,030281
03028180,030281
03028200,030282
03028300,030283
03028410,030284
03028490,030284
03028510,030285
03028530,030285
03028590,030285
03028910,030289
03028921,030289
03028929,030289
03028931,030289
03028939,030289
03028940,030289
03028950,030289
03028960,030289
03028990,030289
03029100,030290
03029200,030281
03029900,030211
03029900,030213
03029900,030214
03029900,030219
03029900,030221
03029900,030222
03029900,030223
03029900,030224
03029900,030229
03029900,030231
03029900,030232
03029900,030233
03029900,030234
03029900,030235
03029900,030236
03029900,030239
03029900,030241
03029900,030242
03029900,030243
03029900,030244
03029900,030245
03029900,030246
03029900,030247
03029900,030251
03029900,030252
03029900,030253
03029900,030254
03029900,030255
03029900,030256
03029900,030259
03029900,030271
03029900,030272
03029900,030273
03029900,030274
03029900,030279
03029900,030281
03029900,030282
03029900,030283
03029900,030284
03029900,030285
03029900,030289
03031100,030311
03031200,030312
03031300,030313
03031410,030314
03031420,030314
03031490,030314
03031900,030319
03032300,030323
03032400,030324
03032500,030325
03032500,030389
03032600,030326
03032900,030329
03033110,030331
03033130,030331
03033190,030331
03033200,030332
03033300,030333
03033400,030334
03033910,030339
03033930,030339
03033950,030339
03033985,030339
03034110,030341
03034190,030341
03034220,030342
03034290,030342
03034310,030343
03034390,030343
03034410,030344
03034490,030344
03034512,030345
03034518,030345
03034591,030345
03034599,030345
03034610,030346
03034690,030346
03034920,030349
03034985,030349
03035100,030351
03035310,030353
03035330,030353
03035390,030353
03035410,030354
03035490,030354
03035510,030355
03035530,030355
03035590,030355
03035600,030356
03035700,030357
03035910,030389
03035921,030389
03035929,030389
03035990,030389
03036310,030363
03036330,030363
03036390,030363
03036400,030364
03036500,030365
03036611,030366
03036612,030366
03036613,030366
03036619,030366
03036690,030366
03036700,030367
03036810,030368
03036890,030368
03036910,030369
03036930,030369
03036950,030369
03036970,030369
03036980,030369
03036990,030369
03038115,030381
03038130,030381
03038140,030381
03038190,030381
03038200,030382
03038300,030383
03038410,030384
03038490,030384
03038910,030389
03038921,030389
03038929,030389
03038931,030389
03038939,030389
03038940,030389
03038950,030389
03038955,030389
03038960,030389
03038965,030389
03038970,030389
03038990,030389
03039110,030390
03039190,030390
03039200,030381
03039900,030311
03039900,030312
03039900,030313
03039900,030314
03039900,030319
03039900,030323
03039900,030324
03039900,030325
03039900,030326
03039900,030329
03039900,030331
03039900,030332
03039900,030333
03039900,030334
03039900,030339
03039900,030341
03039900,030342
03039900,030343
03039900,030344
03039900,030345
03039900,030346
03039900,030349
03039900,030351
03039900,030353
03039900,030354
03039900,030355
03039900,030356
03039900,030357
03039900,030363
03039900,030364
03039900,030365
03039900,030366
03039900,030367
03039900,030368
03039900,030369
03039900,030381
03039900,030382
03039900,030383
03039900,030384
03039900,030389
03043100,030431
03043200,030432
03043300,030433
03043900,030439
03043900,030449
03044100,030441
03044210,030442
03044250,030442
03044290,030442
03044300,030443
03044410,030444
03044430,030444
03044490,030444
03044500,030445
03044600,030446
03044710,030449
03044720,030449
03044730,030449
03044790,030449
03044800,030449
03044910,030449
03044950,030449
03044990,030449
03045100,030451
03045100,030459
03045200,030452
03045300,030453
03045400,030454
03045500,030455
03045610,030459
03045620,030459
03045630,030459
03045690,030459
03045700,030459
03045910,030459
03045950,030459
03045990,030459
03046100,030461
03046200,030462
03046300,030463
03046900,030469
03046900,030489
03047110,030471
03047190,030471
03047200,030472
03047300,030473
03047411,030474
03047415,030474
03047419,030474
03047490,030474
03047500,030475
03047910,030479
03047930,030479
03047950,030479
03047980,030479
03047990,030479
03048100,030481
03048210,030482
03048250,030482
03048290,030482
03048310,030483
03048330,030483
03048350,030483
03048390,030483
03048400,030484
03048500,030485
03048600,030486
03048700,030487
03048811,030489
03048815,030489
03048818,030489
03048819,030489
03048890,030489
03048910,030489
03048921,030489
03048929,030489
03048930,030489
03048941,030489
03048949,030489
03048960,030489
03048990,030489
03049100,030491
03049200,030492
03049310,030493
03049310,030499
03049390,030493
03049390,030499
03049410,030494
03049490,030494
03049510,030495
03049521,030495
03049525,030495
03049529,030495
03049530,030495
03049540,030495
03049550,030495
03049560,030495
03049590,030495
03049610,030499
03049620,030499
03049630,030499
03049690,030499
03049700,030499
03049910,030499
03049921,030499
03049923,030499
03049929,030499
03049955,030499
03049961,030499
03049965,030499
03049999,030499
03052000,030520
03053100,030531
03053100,030539
03053211,030532
03053219,030532
03053290,030532
03053910,030539
03053950,030539
03053990,030539
03054100,030541
03054200,030542
03054300,030543
03054410,030544
03054410,030549
03054490,030544
03054490,030549
03054910,030549
03054920,030549
03054930,030549
03054980,030549
03055110,030551
03055190,030551
03055200,030559
03055310,030559
03055390,030559
03055430,030559
03055450,030559
03055490,030559
03055970,030559
03055985,030559
03056100,030561
03056200,030562
03056300,030563
03056400,030564
03056400,030569
03056910,030569
03056930,030569
03056950,030569
03056980,030569
03057100,030571
03057200,030572
03057900,030579
03061110,030611
03061190,030611
03061210,030612
03061290,030612
03061410,030614
03061430,030614
03061490,030614
03061500,030615
03061691,030616
03061699,030616
03061791,030617
03061792,030617
03061793,030617
03061794,030617
03061799,030617
03061910,030619
03061990,030619
03063100,030621
03063210,030622
03063291,030622
03063299,030622
03063310,030624
03063390,030624
03063400,030625
03063510,030626
03063550,030626
03063590,030626
03063610,030627
03063650,030627
03063690,030627
03063910,030629
03063990,030629
03069100,030621
03069210,030622
03069290,030622
03069310,030624
03069390,030624
03069400,030625
03069511,030626
03069511,030627
03069519,030626
03069519,030627
03069520,030626
03069520,030627
03069530,030626
03069530,030627
03069540,030626
03069540,030627
03069590,030626
03069590,030627
03069910,030629
03069990,030629
03071110,030711
03071190,030711
03071200,030719
03071900,030719
03072110,030721
03072110,030791
03072190,030721
03072190,030791
03072210,030729
03072210,030799
03072290,030729
03072290,030799
03072295,030729
03072295,030799
03072910,030729
03072910,030799
03072990,030729
03072990,030799
03073110,030731
03073190,030731
03073210,030739
03073290,030739
03073920,030739
03073980,030739
03074210,030741
03074210,030791
03074220,030741
03074220,030791
03074230,030741
03074230,030791
03074240,030741
03074240,030791
03074290,030741
03074290,030791
03074321,030749
03074321,030799
03074325,030749
03074325,030799
03074329,030749
03074329,030799
03074331,030749
03074331,030799
03074333,030749
03074333,030799
03074335,030749
03074335,030799
03074338,030749
03074338,030799
03074391,030749
03074391,030799
03074392,030749
03074392,030799
03074395,030749
03074395,030799
03074399,030749
03074399,030799
03074920,030749
03074920,030799
03074940,030749
03074940,030799
03074950,030749
03074950,030799
03074960,030749
03074960,030799
03074980,030749
03074980,030799
03075100,030751
03075200,030759
03075900,030759
03076000,030760
03077100,030771
03077210,030779
03077290,030779
03077900,030779
03078100,030781
03078200,030791
03078300,030789
03078400,030799
03078700,030789
03078800,030799
03079100,030791
03079200,030799
03079900,030799
03081100,030811
03081200,030819
03081900,030819
03082100,030821
03082200,030829
03082900,030829
03083050,030830
03083080,030830
